ID,brand,NIC,owner,image
006658934,ADNOC VOYAGER GOLD PETROL ENGINE OIL FULLY SYNTHETIC SAE 5W/40 4L PETROL ENGINE OIL ULTIMATE PERFORMANCE FOR PREMIUM CARS,4,"Abu Dhabi National Oil Company for Distribution, Public Joint-stock",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKP3STKASGLI2AG7OANZ5LJ5ILVLBBU33FCVPX3KFQO5FOJIYVZZFCG
007114267,Club Español del Petróleo,"16, 41, 42",CLUB ESPAÑOL DE LA ENERGIA (ENERCLUB) Asociación,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYJMXYEQCHAD2DNZZZMTQT6SUNODZJ7PTQHCWBBLEHOEZ63L6IM3E
007157076,Conti Petrol,"4, 35, 39","Eller Montan Comp., GmbH",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYJMXYEQCHAD2DNZZZMTQT6SUNOCMTPQIJL36LKQ5PVZVWOIY3XAS
007310261,AAPC AMERICAN ASSOCIATION OF PETROLEUM GEOLOGISTS 1917,42,The American Association of Petroleum Geologist,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYJMXYEQCHAD2DNZZZMTQT6SUNOOHA2I4BUWCO5RQF67J5TRPCEH6
008128373,ECOPETROL GLOBAL ENERGY,"4, 36","ECOPETROL, S.A.",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPY2GMNUH2DMDRRPDKLRWSW4T4DCQOGLZDLHCPP6LDTLNC5L44YODQ
008419129,SVENSKA PETROLEUM EXPLORATION,"4, 42",Svenska Petroleum Exploration AB,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPY2GMNUH2DMDRRPDKLRWSW4T4DCWTJRNGFDGHVY2RCZTSMZBXFWNU
008591761,KING ABDULLAH PETROLEUM STUDIES AND RESEARCH CENTER,"9, 16, 41, 42",King Abdullah Petroleum Studies and Research Center,No Image
008994576,PETROL QMAX,"4, 35, 39","Petrol, Slovenska energetska družba, d.d., Ljubljana",No Image
009075706,GP General Petroleum,"1, 4",General Petroleum GmbH,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYAKYLUC3OKTBFWWBLUAGFCOSH7HRB42PYGG2NFR5TZMNMKAK5UJG
009319104,GP General Petroleum,"1, 4",General Petroleum GmbH,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYAKYLUC3OKTBFWWBLUAGFCOSH7AP3UDIVGNM2CQNV2PH43JMKBKI
009546557,AMERICAN PETROL,4,"AMERICAN PETROL, S.L.",https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYAKYLUC3OKTBFWWBLUAGFCOSH7B5ARYJYTLKRWX3GKXMH3Z35PBO
009675588,PETROLI,"35, 39",DISA PENINSULA S.L.U.,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYAKYLUC3OKTBFWWBLUAGFCOSH7KOPMO547LS4E3ZK52GZ7DET6WW
009711961,QATAR PETROLEUM,"1, 4, 37, 39, 40, 42, 43",QatarEnergy,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYAKYLUC3OKTBFWWBLUAGFCOSH7HRRCN2MBBR6Q4WABWXBY3XD7MS
009712861,QATAR PETROLEUM,"1, 4, 37, 39, 40, 42, 43",QatarEnergy,https://euipo.europa.eu/copla/thumbnail/GGIVU4WGEGD2LJBLYJY6ACUKPYAKYLUC3OKTBFWWBLUAGFCOSH7J6WXJDJGNMCJ5HSO2SCLTBQKJY
009920588,PETROLINK,"9, 16, 38, 41, 42",Petrolink International Limited,No Image
